,0
1984,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_4.jpg
1985,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_40.jpg
1986,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_41.jpg
1987,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_42.jpg
1988,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_43.jpg
1989,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_44.jpg
1990,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_45.jpg
1991,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_46.jpg
1992,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_47.jpg
1993,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_48.jpg
1994,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_49.jpg
1995,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_5.jpg
1996,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_50.jpg
1997,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_51.jpg
1998,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_52.jpg
1999,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_53.jpg
2000,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_54.jpg
2001,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_55.jpg
2002,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_56.jpg
2003,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_57.jpg
2004,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_58.jpg
2005,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_59.jpg
2006,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_6.jpg
2007,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_60.jpg
2008,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_61.jpg
2009,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_62.jpg
2010,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_63.jpg
2011,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_64.jpg
2012,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_65.jpg
2013,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_66.jpg
2014,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_67.jpg
2015,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_68.jpg
2016,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_69.jpg
2017,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_7.jpg
2018,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_70.jpg
2019,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_71.jpg
2020,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_72.jpg
2021,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_73.jpg
2022,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_74.jpg
2023,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_75.jpg
2024,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_76.jpg
2025,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_77.jpg
2026,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_78.jpg
2027,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_79.jpg
2028,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_8.jpg
2029,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_80.jpg
2030,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_81.jpg
2031,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_82.jpg
2032,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_83.jpg
2033,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_84.jpg
2034,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_85.jpg
2035,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_86.jpg
2036,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_87.jpg
2037,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_88.jpg
2038,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_89.jpg
2039,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_9.jpg
2040,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_90.jpg
2041,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_91.jpg
2042,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_92.jpg
2043,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_93.jpg
2044,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_94.jpg
2045,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_95.jpg
2046,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_96.jpg
2047,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_97.jpg
2048,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_98.jpg
2049,D:\Nepali_character_Recognisation\Nepali_Character_dataset\19\Img_99.jpg
2050,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_0.jpg
2051,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_1.jpg
2052,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_10.jpg
2053,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_100.jpg
2054,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_101.jpg
2055,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_102.jpg
2056,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_103.jpg
2057,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_104.jpg
2058,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_105.jpg
2059,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_106.jpg
2060,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_107.jpg
2061,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_108.jpg
2062,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_109.jpg
2063,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_11.jpg
2064,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_110.jpg
2065,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_111.jpg
2066,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_112.jpg
2067,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_113.jpg
2068,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_114.jpg
2069,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_115.jpg
2070,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_116.jpg
2071,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_117.jpg
2072,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_118.jpg
2073,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_119.jpg
2074,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_12.jpg
2075,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_120.jpg
2076,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_121.jpg
2077,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_122.jpg
2078,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_123.jpg
2079,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_124.jpg
2080,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_125.jpg
2081,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_126.jpg
2082,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_127.jpg
2083,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_128.jpg
2084,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_129.jpg
2085,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_13.jpg
2086,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_130.jpg
2087,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_131.jpg
2088,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_132.jpg
2089,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_133.jpg
2090,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_134.jpg
2091,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_135.jpg
2092,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_136.jpg
2093,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_137.jpg
2094,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_138.jpg
2095,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_139.jpg
2096,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_14.jpg
2097,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_140.jpg
2098,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_141.jpg
2099,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_142.jpg
2100,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_143.jpg
2101,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_144.jpg
2102,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_145.jpg
2103,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_146.jpg
2104,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_147.jpg
2105,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_148.jpg
2106,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_149.jpg
2107,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_15.jpg
2108,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_150.jpg
2109,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_151.jpg
2110,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_152.jpg
2111,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_153.jpg
2112,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_154.jpg
2113,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_155.jpg
2114,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_156.jpg
2115,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_157.jpg
2116,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_158.jpg
2117,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_159.jpg
2118,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_16.jpg
2119,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_160.jpg
2120,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_161.jpg
2121,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_162.jpg
2122,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_163.jpg
2123,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_164.jpg
2124,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_165.jpg
2125,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_166.jpg
2126,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_167.jpg
2127,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_168.jpg
2128,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_169.jpg
2129,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_17.jpg
2130,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_170.jpg
2131,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_171.jpg
2132,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_172.jpg
2133,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_173.jpg
2134,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_174.jpg
2135,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_175.jpg
2136,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_176.jpg
2137,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_177.jpg
2138,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_178.jpg
2139,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_179.jpg
2140,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_18.jpg
2141,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_180.jpg
2142,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_181.jpg
2143,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_182.jpg
2144,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_183.jpg
2145,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_184.jpg
2146,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_185.jpg
2147,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_186.jpg
2148,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_187.jpg
2149,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_188.jpg
2150,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_189.jpg
2151,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_19.jpg
2152,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_190.jpg
2153,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_191.jpg
2154,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_192.jpg
2155,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_193.jpg
2156,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_194.jpg
2157,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_195.jpg
2158,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_196.jpg
2159,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_197.jpg
2160,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_198.jpg
2161,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_199.jpg
2162,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_2.jpg
2163,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_20.jpg
2164,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_200.jpg
2165,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_201.jpg
2166,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_202.jpg
2167,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_203.jpg
2168,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_204.jpg
2169,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_21.jpg
2170,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_22.jpg
2171,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_23.jpg
2172,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_24.jpg
2173,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_25.jpg
2174,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_26.jpg
2175,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_27.jpg
2176,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_28.jpg
2177,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_29.jpg
2178,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_3.jpg
2179,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_30.jpg
2180,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_31.jpg
2181,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_32.jpg
2182,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_33.jpg
2183,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_34.jpg
2184,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_35.jpg
2185,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_36.jpg
2186,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_37.jpg
2187,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_38.jpg
2188,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_39.jpg
2189,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_4.jpg
2190,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_40.jpg
2191,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_41.jpg
2192,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_42.jpg
2193,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_43.jpg
2194,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_44.jpg
2195,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_45.jpg
2196,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_46.jpg
2197,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_47.jpg
2198,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_48.jpg
2199,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_49.jpg
2200,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_5.jpg
2201,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_50.jpg
2202,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_51.jpg
2203,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_52.jpg
2204,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_53.jpg
2205,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_54.jpg
2206,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_55.jpg
2207,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_56.jpg
2208,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_57.jpg
2209,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_58.jpg
2210,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_59.jpg
2211,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_6.jpg
2212,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_60.jpg
2213,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_61.jpg
2214,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_62.jpg
2215,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_63.jpg
2216,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_64.jpg
2217,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_65.jpg
2218,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_66.jpg
2219,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_67.jpg
2220,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_68.jpg
2221,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_69.jpg
2222,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_7.jpg
2223,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_70.jpg
2224,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_71.jpg
2225,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_72.jpg
2226,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_73.jpg
2227,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_74.jpg
2228,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_75.jpg
2229,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_76.jpg
2230,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_77.jpg
2231,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_78.jpg
2232,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_79.jpg
2233,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_8.jpg
2234,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_80.jpg
2235,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_81.jpg
2236,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_82.jpg
2237,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_83.jpg
2238,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_84.jpg
2239,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_85.jpg
2240,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_86.jpg
2241,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_87.jpg
2242,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_88.jpg
2243,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_89.jpg
2244,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_9.jpg
2245,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_90.jpg
2246,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_91.jpg
2247,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_92.jpg
2248,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_93.jpg
2249,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_94.jpg
2250,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_95.jpg
2251,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_96.jpg
2252,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_97.jpg
2253,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_98.jpg
2254,D:\Nepali_character_Recognisation\Nepali_Character_dataset\1\Img_99.jpg
2255,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_0.jpg
2256,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_1.jpg
2257,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_10.jpg
2258,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_100.jpg
2259,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_101.jpg
2260,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_102.jpg
2261,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_103.jpg
2262,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_104.jpg
2263,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_105.jpg
2264,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_106.jpg
2265,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_107.jpg
2266,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_108.jpg
2267,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_109.jpg
2268,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_11.jpg
2269,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_110.jpg
2270,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_111.jpg
2271,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_112.jpg
2272,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_113.jpg
2273,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_114.jpg
2274,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_115.jpg
2275,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_116.jpg
2276,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_117.jpg
2277,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_118.jpg
2278,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_119.jpg
2279,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_12.jpg
2280,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_120.jpg
2281,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_121.jpg
2282,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_122.jpg
2283,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_123.jpg
2284,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_124.jpg
2285,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_125.jpg
2286,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_126.jpg
2287,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_127.jpg
2288,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_128.jpg
2289,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_129.jpg
2290,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_13.jpg
2291,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_130.jpg
2292,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_131.jpg
2293,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_132.jpg
2294,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_133.jpg
2295,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_134.jpg
2296,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_135.jpg
2297,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_136.jpg
2298,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_137.jpg
2299,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_138.jpg
2300,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_139.jpg
2301,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_14.jpg
2302,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_140.jpg
2303,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_141.jpg
2304,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_142.jpg
2305,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_143.jpg
2306,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_144.jpg
2307,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_145.jpg
2308,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_146.jpg
2309,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_147.jpg
2310,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_148.jpg
2311,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_149.jpg
2312,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_15.jpg
2313,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_150.jpg
2314,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_151.jpg
2315,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_152.jpg
2316,D:\Nepali_character_Recognisation\Nepali_Character_dataset\20\Img_153.jpg
